weight_path,method_name,sparsity,descriptor_dim,flops,model_memory,extraction_lat_cpu_bs1,extraction_lat_gpu_bs1,Pitts30k_Val_R1,Pitts30k_Val_R5,Pitts30k_Val_R10,Pitts30k_Val_map_memory,Pitts30k_Val_total_memory,Pitts30k_Val_matching_lat,Pitts30k_Val_total_cpu_lat_bs1,Pitts30k_Val_total_gpu_lat_bs1,AmsterTime_R1,AmsterTime_R5,AmsterTime_R10,AmsterTime_map_memory,AmsterTime_total_memory,AmsterTime_matching_lat,AmsterTime_total_cpu_lat_bs1,AmsterTime_total_gpu_lat_bs1
ResNet34_ConvAP_agg_0.50_sparsity_0.399_R1_0.915.ckpt,ResNet34_ConvAP,0.399,,7561830400.0,83.198486328125,240.56377410888672,35.54408550262451,,,,,,10.15024185180664,325.8564233779907,45.64772844314575,,,,,,1.4236211776733398,241.9873952865601,36.96770668029785
ResNet34_ConvAP_agg_0.50_sparsity_0.424_R1_0.913.ckpt,ResNet34_ConvAP,0.424,,7561830400.0,83.198486328125,234.5584273338318,31.539189815521244,,,,,,9.521770477294922,330.7687282562256,41.13566875457764,,,,,,1.2378454208374023,235.7962727546692,32.77703523635864
ResNet34_ConvAP_agg_0.50_sparsity_0.436_R1_0.912.ckpt,ResNet34_ConvAP,0.436,,7561830400.0,83.198486328125,231.4116716384888,25.633037090301517,,,,,,8.910059928894043,314.36612606048584,34.28837060928345,,,,,,1.2323379516601562,232.64400959014893,26.86537504196167
ResNet34_ConvAP_agg_0.75_sparsity_0.037_R1_0.922.ckpt,ResNet34_ConvAP,0.037,,7561830400.0,83.198486328125,332.613468170166,44.189453125,,,,,,17.343974113464355,409.161639213562,60.55976152420044,,,,,,2.4433135986328125,335.0567817687988,46.63276672363281
ResNet34_ConvAP_agg_0.75_sparsity_0.070_R1_0.923.ckpt,ResNet34_ConvAP,0.07,,7561830400.0,83.198486328125,324.15651082992554,44.019484519958496,,,,,,16.485905647277832,398.4238982200623,60.94164848327637,,,,,,2.1067142486572266,326.2632250785828,46.12619876861572
ResNet34_ConvAP_agg_0.75_sparsity_0.105_R1_0.923.ckpt,ResNet34_ConvAP,0.105,,7561830400.0,83.198486328125,315.73179960250854,44.83610391616821,,,,,,16.116809844970703,389.0502095222473,59.54740047454834,,,,,,2.7011632919311523,318.4329628944397,47.537267208099365
ResNet34_ConvAP_agg_0.75_sparsity_0.137_R1_0.922.ckpt,ResNet34_ConvAP,0.137,,7561830400.0,83.198486328125,307.64251947402954,41.88342094421387,,,,,,14.602088928222656,398.1802940368652,56.291329860687256,,,,,,1.4101505279541016,309.05267000198364,43.29357147216797
ResNet34_ConvAP_agg_0.75_sparsity_0.171_R1_0.922.ckpt,ResNet34_ConvAP,0.171,,7561830400.0,83.198486328125,299.45552349090576,38.868796825408936,,,,,,13.768148422241213,370.8646059036255,52.80095338821411,,,,,,1.8963098526000977,301.35183334350586,40.76510667800903
ResNet34_ConvAP_agg_0.75_sparsity_0.200_R1_0.919.ckpt,ResNet34_ConvAP,0.2,,7561830400.0,83.198486328125,292.1954274177551,37.65074014663696,,,,,,12.727499008178713,376.7206788063049,50.32157897949219,,,,,,2.2036075592041016,294.39903497695923,39.85434770584106
ResNet34_ConvAP_agg_0.75_sparsity_0.230_R1_0.920.ckpt,ResNet34_ConvAP,0.23,,7561830400.0,83.198486328125,286.36977672576904,37.23506927490234,,,,,,11.83631420135498,357.0644736289978,48.97309541702271,,,,,,1.675248146057129,288.0450248718262,38.91031742095947
